"appID";"appName"
"com.alienmanfc6.wheresmyandroid";"Where's My Droid"
"com.appstar.callrecorder";"QRecorder"
"com.att.devicealive";"Device Alive"
"com.cakevpn";"Cake VPN"
"com.dropbox.android";"Dropbox"
"com.facebook.katana";"Facebook"
"com.ggzz.version";"ggzzversion"
"com.google.android.apps.docs";"Google Drive"
"com.instagram.android";"Instagram"
"com.lego.starwars.tfa";"Star War"
"com.netflix.mediaclient";"Netflix"
"com.pacificvpn";"Pacific VPN"
"com.puzzlegame.chickenpuzzle";"Chicken Puzzle"
"com.qrcodescanner.barcodescanner";"QR/Barcode Scanner MAX"
"com.rovio.angrybirds";"Angry Birds"
"com.snapchat.android";"Snapchat"
"com.srtbeatplayer";"BeatPlayer"
"com.tooltipnatorlibrary";"tooltipnatorlibrary"
"com.weather.Weather";"Weather"
"com.whatsapp";"WhatsApp"
"com.wild.crocodile.simulator";"Wild Crocodile"
"com.zhiliaoapp.musically";"TikTok"
"media.audioplayer.musicplayer";"Music Player"
"net.evpn.android";"eVPN"
